PROVIDUS BANK
0215,CORPORATE BRANCH
,,,,

Customer Name,SANITIZED COMPANY LIMITED
Account Number,0215/********/001/0013/000
NUBAN Number,******2534
Account Type,CURR.A/C -LOCAL CORPORATE - NAIRA
Account Nickname,SANITIZED COMPANY LIMITED CURRENT NGN
Statement of Account For  The Period From Date 01/04/2026 To Date 03/06/2026

,Transaction Description,All,Transaction Type,All
,Number of Debit Transaction(s),388,Number of Credit Transaction(s),11
,Total Debit Amount,"48,574,497.94",Total Credit Amount,"47,425,207.50"
,"Period Opening Balance ","1,288,486.27","Period Closing Balance ","139,195.83"


Transaction Date,Actual Transaction Date,Transaction Details,Value Date,Debit Amount,Credit Amount,Current Balance,DR/CR,DOC-NUM
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 064,19/04/2026,50.00,,"12,202,557.88",,DOC-0064
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 065,19/04/2026,50.00,,"12,202,507.88",,DOC-0065
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 066,19/04/2026,3.75,,"12,202,504.13",,DOC-0066
19/04/2026,19/04/2026,SANITIZED CREDIT TRANSACTION 067,19/04/2026,,"200,000.00","12,402,504.13",,DOC-0067
19/04/2026,19/04/2026,SANITIZED CREDIT TRANSACTION 068,19/04/2026,,50.00,"12,402,554.13",,DOC-0068
19/04/2026,19/04/2026,SANITIZED CREDIT TRANSACTION 069,19/04/2026,,50.00,"12,402,604.13",,DOC-0069
19/04/2026,19/04/2026,SANITIZED CREDIT TRANSACTION 070,19/04/2026,,3.75,"12,402,607.88",,DOC-0070
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 071,19/04/2026,"220,000.00",,"12,182,607.88",,DOC-0071
21/04/2026,21/04/2026,SANITIZED DEBIT TRANSACTION 072,21/04/2026,"173,214.39",,"12,009,393.49",,DOC-0072
22/04/2026,22/04/2026,SANITIZED DEBIT TRANSACTION 073,22/04/2026,"121,285.85",,"11,888,107.64",,DOC-0073
22/04/2026,22/04/2026,SANITIZED DEBIT TRANSACTION 074,22/04/2026,"410,000.00",,"11,478,107.64",,DOC-0074
22/04/2026,22/04/2026,SANITIZED DEBIT TRANSACTION 075,22/04/2026,50.00,,"11,478,057.64",,DOC-0075
22/04/2026,22/04/2026,SANITIZED DEBIT TRANSACTION 076,22/04/2026,50.00,,"11,478,007.64",,DOC-0076
22/04/2026,22/04/2026,SANITIZED DEBIT TRANSACTION 077,22/04/2026,3.75,,"11,478,003.89",,DOC-0077
22/04/2026,22/04/2026,SANITIZED DEBIT TRANSACTION 078,22/04/2026,"25,500.00",,"11,452,503.89",,DOC-0078
22/04/2026,22/04/2026,SANITIZED DEBIT TRANSACTION 079,22/04/2026,25.00,,"11,452,478.89",,DOC-0079
22/04/2026,22/04/2026,SANITIZED DEBIT TRANSACTION 080,22/04/2026,50.00,,"11,452,428.89",,DOC-0080
22/04/2026,22/04/2026,SANITIZED DEBIT TRANSACTION 081,22/04/2026,1.88,,"11,452,427.01",,DOC-0081
22/04/2026,22/04/2026,SANITIZED DEBIT TRANSACTION 082,22/04/2026,"14,051.23",,"11,438,375.78",,DOC-0082
23/04/2026,23/04/2026,SANITIZED DEBIT TRANSACTION 083,23/04/2026,"81,605.23",,"11,356,770.55",,DOC-0083
23/04/2026,23/04/2026,SANITIZED DEBIT TRANSACTION 084,23/04/2026,"200,000.00",,"11,156,770.55",,DOC-0084
23/04/2026,23/04/2026,SANITIZED DEBIT TRANSACTION 085,23/04/2026,50.00,,"11,156,720.55",,DOC-0085
23/04/2026,23/04/2026,SANITIZED DEBIT TRANSACTION 086,23/04/2026,50.00,,"11,156,670.55",,DOC-0086
23/04/2026,23/04/2026,SANITIZED DEBIT TRANSACTION 087,23/04/2026,3.75,,"11,156,666.80",,DOC-0087
23/04/2026,23/04/2026,SANITIZED DEBIT TRANSACTION 088,23/04/2026,"1,360,000.00",,"9,796,666.80",,DOC-0088
23/04/2026,23/04/2026,SANITIZED DEBIT TRANSACTION 089,23/04/2026,50.00,,"9,796,616.80",,DOC-0089
23/04/2026,23/04/2026,SANITIZED DEBIT TRANSACTION 090,23/04/2026,50.00,,"9,796,566.80",,DOC-0090
23/04/2026,23/04/2026,SANITIZED DEBIT TRANSACTION 091,23/04/2026,3.75,,"9,796,563.05",,DOC-0091
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 092,24/04/2026,"387,876.00",,"9,408,687.05",,DOC-0092
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 093,24/04/2026,"429,461.00",,"8,979,226.05",,DOC-0093
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 094,24/04/2026,"559,719.00",,"8,419,507.05",,DOC-0094
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 095,24/04/2026,50.00,,"8,419,457.05",,DOC-0095
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 096,24/04/2026,50.00,,"8,419,407.05",,DOC-0096
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 097,24/04/2026,3.75,,"8,419,403.30",,DOC-0097
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 098,24/04/2026,"757,892.00",,"7,661,511.30",,DOC-0098
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 099,24/04/2026,50.00,,"7,661,461.30",,DOC-0099
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 100,24/04/2026,50.00,,"7,661,411.30",,DOC-0100
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 101,24/04/2026,3.75,,"7,661,407.55",,DOC-0101
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 102,24/04/2026,"658,367.00",,"7,003,040.55",,DOC-0102
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 103,24/04/2026,50.00,,"7,002,990.55",,DOC-0103
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 104,24/04/2026,50.00,,"7,002,940.55",,DOC-0104
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 105,24/04/2026,3.75,,"7,002,936.80",,DOC-0105
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 106,24/04/2026,"466,889.00",,"6,536,047.80",,DOC-0106
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 107,24/04/2026,50.00,,"6,535,997.80",,DOC-0107
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 108,24/04/2026,50.00,,"6,535,947.80",,DOC-0108
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 109,24/04/2026,3.75,,"6,535,944.05",,DOC-0109
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 110,24/04/2026,"484,691.00",,"6,051,253.05",,DOC-0110
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 111,24/04/2026,50.00,,"6,051,203.05",,DOC-0111
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 112,24/04/2026,50.00,,"6,051,153.05",,DOC-0112
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 113,24/04/2026,3.75,,"6,051,149.30",,DOC-0113
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 114,24/04/2026,"436,341.00",,"5,614,808.30",,DOC-0114
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 115,24/04/2026,50.00,,"5,614,758.30",,DOC-0115
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 116,24/04/2026,50.00,,"5,614,708.30",,DOC-0116
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 117,24/04/2026,3.75,,"5,614,704.55",,DOC-0117
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 118,24/04/2026,"429,461.00",,"5,185,243.55",,DOC-0118
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 119,24/04/2026,50.00,,"5,185,193.55",,DOC-0119
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 120,24/04/2026,50.00,,"5,185,143.55",,DOC-0120
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 121,24/04/2026,3.75,,"5,185,139.80",,DOC-0121
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 122,24/04/2026,"400,000.00",,"4,785,139.80",,DOC-0122
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 123,24/04/2026,50.00,,"4,785,089.80",,DOC-0123
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 124,24/04/2026,50.00,,"4,785,039.80",,DOC-0124
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 125,24/04/2026,3.75,,"4,785,036.05",,DOC-0125
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 126,24/04/2026,"450,000.00",,"4,335,036.05",,DOC-0126
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 127,24/04/2026,50.00,,"4,334,986.05",,DOC-0127
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 128,24/04/2026,50.00,,"4,334,936.05",,DOC-0128
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 129,24/04/2026,3.75,,"4,334,932.30",,DOC-0129
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 130,24/04/2026,"350,000.00",,"3,984,932.30",,DOC-0130
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 131,24/04/2026,50.00,,"3,984,882.30",,DOC-0131
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 132,24/04/2026,50.00,,"3,984,832.30",,DOC-0132
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 133,24/04/2026,3.75,,"3,984,828.55",,DOC-0133
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 134,24/04/2026,"172,727.00",,"3,812,101.55",,DOC-0134
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 135,24/04/2026,50.00,,"3,812,051.55",,DOC-0135
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 136,24/04/2026,50.00,,"3,812,001.55",,DOC-0136
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 137,24/04/2026,3.75,,"3,811,997.80",,DOC-0137
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 138,24/04/2026,"434,466.00",,"3,377,531.80",,DOC-0138
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 139,24/04/2026,50.00,,"3,377,481.80",,DOC-0139
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 140,24/04/2026,50.00,,"3,377,431.80",,DOC-0140
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 141,24/04/2026,3.75,,"3,377,428.05",,DOC-0141
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 142,24/04/2026,"234,939.00",,"3,142,489.05",,DOC-0142
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 143,24/04/2026,50.00,,"3,142,439.05",,DOC-0143
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 144,24/04/2026,50.00,,"3,142,389.05",,DOC-0144
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 145,24/04/2026,3.75,,"3,142,385.30",,DOC-0145
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 146,24/04/2026,"15,000.00",,"3,127,385.30",,DOC-0146
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 147,24/04/2026,25.00,,"3,127,360.30",,DOC-0147
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 148,24/04/2026,50.00,,"3,127,310.30",,DOC-0148
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 149,24/04/2026,1.88,,"3,127,308.42",,DOC-0149
24/04/2026,24/04/2026,SANITIZED DEBIT TRANSACTION 150,24/04/2026,"500,000.00",,"2,627,308.42",,DOC-0150
26/04/2026,26/04/2026,SANITIZED DEBIT TRANSACTION 151,26/04/2026,"500,000.00",,"2,127,308.42",,DOC-0151
26/04/2026,26/04/2026,SANITIZED DEBIT TRANSACTION 152,26/04/2026,50.00,,"2,127,258.42",,DOC-0152
26/04/2026,26/04/2026,SANITIZED DEBIT TRANSACTION 153,26/04/2026,50.00,,"2,127,208.42",,DOC-0153
26/04/2026,26/04/2026,SANITIZED DEBIT TRANSACTION 154,26/04/2026,3.75,,"2,127,204.67",,DOC-0154
27/04/2026,27/04/2026,SANITIZED DEBIT TRANSACTION 155,27/04/2026,"281,112.15",,"1,846,092.52",,DOC-0155
